,states,state_code,quarter,policy,score
749,New Mexico,NM,Q1,staff_masking,13
753,New Mexico,NM,Q1,staff_quarantine,13
798,Oklahoma,OK,Q1,inmate_vaccination,3
801,Oklahoma,OK,Q1,inmate_testing,13
805,Oklahoma,OK,Q1,inmate_screening,13
808,Oklahoma,OK,Q1,inmate_quarantine,13
811,Oklahoma,OK,Q1,inmate_visitation_suspended,13
814,Oklahoma,OK,Q1,staff_masking,13
815,Oregon,OR,Q1,inmate_vaccination,3
821,Oregon,OR,Q1,inmate_releases,13
825,Oregon,OR,Q1,inmate_visitation_suspended,13
830,Pennsylvania,PA,Q1,inmate_vaccination,3
838,Rhode Island,RI,Q1,inmate_vaccination,2
1001,West Virginia,WV,Q1,inmate_testing,13
1005,West Virginia,WV,Q1,inmate_masking,13
1009,West Virginia,WV,Q1,inmate_releases,13
1013,West Virginia,WV,Q1,inmate_screening,13
1017,West Virginia,WV,Q1,inmate_quarantine,13
1021,West Virginia,WV,Q1,inmate_visitation_suspended,13
1025,West Virginia,WV,Q1,staff_testing,13
1029,West Virginia,WV,Q1,staff_masking,13
1035,Wisconsin,WI,Q1,inmate_masking,13
1039,Wisconsin,WI,Q1,inmate_releases,13
1043,Wisconsin,WI,Q1,inmate_social_distance,13
1047,Wisconsin,WI,Q1,inmate_quarantine,13
1051,Wisconsin,WI,Q1,inmate_visitation_suspended,13
1056,Wisconsin,WI,Q1,staff_masking,13
1060,Wisconsin,WI,Q1,staff_quarantine,13
1065,Wyoming,WY,Q1,inmate_social_distance,13
1069,Wyoming,WY,Q1,inmate_screening,13
1073,Wyoming,WY,Q1,inmate_visitation_suspended,13
1076,Wyoming,WY,Q1,staff_testing,13
1080,Wyoming,WY,Q1,staff_masking,13
