,states,state_code,quarter,policy,score
208,Hawaii,HI,Q3,inmate_social_distance,13
212,Hawaii,HI,Q3,inmate_screening,13
216,Hawaii,HI,Q3,inmate_quarantine,13
220,Hawaii,HI,Q3,inmate_visitation_suspended,13
224,Hawaii,HI,Q3,staff_masking,13
228,Hawaii,HI,Q3,staff_quarantine,13
232,Idaho,ID,Q3,inmate_testing,13
235,Idaho,ID,Q3,inmate_masking,13
239,Idaho,ID,Q3,inmate_social_distance,13
243,Idaho,ID,Q3,inmate_screening,13
247,Idaho,ID,Q3,inmate_quarantine,13
251,Idaho,ID,Q3,inmate_visitation_suspended,13
254,Idaho,ID,Q3,staff_testing,12
258,Idaho,ID,Q3,staff_masking,13
262,Idaho,ID,Q3,staff_quarantine,13
269,Illinois,IL,Q3,inmate_masking,13
273,Illinois,IL,Q3,inmate_releases,13
276,Illinois,IL,Q3,inmate_screening,9
280,Illinois,IL,Q3,inmate_quarantine,13
284,Illinois,IL,Q3,inmate_visitation_suspended,13
290,Illinois,IL,Q3,staff_masking,13
294,Illinois,IL,Q3,staff_quarantine,13
298,Indiana,IN,Q3,inmate_social_distance,13
302,Indiana,IN,Q3,inmate_screening,13
306,Indiana,IN,Q3,inmate_quarantine,13
310,Indiana,IN,Q3,inmate_visitation_suspended,13
314,Indiana,IN,Q3,staff_masking,13
317,Iowa,IA,Q3,inmate_testing,13
320,Iowa,IA,Q3,inmate_masking,12
324,Iowa,IA,Q3,inmate_releases,13
328,Iowa,IA,Q3,inmate_screening,13
332,Iowa,IA,Q3,inmate_quarantine,13
336,Iowa,IA,Q3,inmate_visitation_suspended,13
340,Iowa,IA,Q3,staff_masking,13
344,Iowa,IA,Q3,staff_quarantine,13
348,Kansas,KS,Q3,inmate_masking,13
352,Kansas,KS,Q3,inmate_social_distance,13
356,Kansas,KS,Q3,inmate_social_distance_sleep,13
360,Kansas,KS,Q3,inmate_screening,13
364,Kansas,KS,Q3,inmate_quarantine,13
368,Kansas,KS,Q3,inmate_visitation_suspended,13
372,Kansas,KS,Q3,staff_testing,4
373,Kansas,KS,Q3,staff_masking,13
376,Kentucky,KY,Q3,inmate_testing,11
380,Kentucky,KY,Q3,inmate_masking,13
384,Kentucky,KY,Q3,inmate_social_distance,10
385,Kentucky,KY,Q3,inmate_visitation_suspended,2
389,Kentucky,KY,Q3,staff_masking,13
394,Louisiana,LA,Q3,inmate_social_distance,10
396,Louisiana,LA,Q3,inmate_visitation_suspended,10
401,Maine,ME,Q3,inmate_testing,13
405,Maine,ME,Q3,inmate_social_distance,13
409,Maine,ME,Q3,inmate_screening,13
415,Maine,ME,Q3,inmate_visitation_suspended,4
421,Maryland,MD,Q3,inmate_testing,13
424,Maryland,MD,Q3,inmate_masking,7
428,Maryland,MD,Q3,inmate_releases,13
431,Maryland,MD,Q3,inmate_social_distance,7
435,Maryland,MD,Q3,inmate_screening,13
439,Maryland,MD,Q3,inmate_quarantine,13
443,Maryland,MD,Q3,inmate_visitation_suspended,13
447,Maryland,MD,Q3,staff_testing,13
451,Maryland,MD,Q3,staff_masking,13
455,Maryland,MD,Q3,staff_quarantine,13
460,Massachusetts,MA,Q3,inmate_testing,13
463,Massachusetts,MA,Q3,inmate_releases,13
467,Massachusetts,MA,Q3,inmate_visitation_suspended,13
472,Massachusetts,MA,Q3,staff_masking,13
477,Michigan,MI,Q3,inmate_testing,13
481,Michigan,MI,Q3,inmate_masking,13
485,Michigan,MI,Q3,inmate_releases,13
489,Michigan,MI,Q3,inmate_social_distance,13
493,Michigan,MI,Q3,inmate_quarantine,13
497,Michigan,MI,Q3,inmate_visitation_suspended,13
501,Michigan,MI,Q3,staff_masking,13
506,Minnesota,MN,Q3,inmate_testing,13
510,Minnesota,MN,Q3,inmate_masking,13
514,Minnesota,MN,Q3,inmate_releases,8
516,Minnesota,MN,Q3,inmate_screening,13
520,Minnesota,MN,Q3,inmate_visitation_suspended,3
522,Minnesota,MN,Q3,staff_testing,13
526,Minnesota,MN,Q3,staff_masking,13
530,Mississippi,MS,Q3,inmate_social_distance,13
534,Mississippi,MS,Q3,inmate_screening,13
538,Mississippi,MS,Q3,inmate_quarantine,13
542,Mississippi,MS,Q3,inmate_visitation_suspended,13
546,Mississippi,MS,Q3,staff_masking,13
550,Missouri,MO,Q3,inmate_testing,6
551,Missouri,MO,Q3,inmate_masking,7
555,Missouri,MO,Q3,inmate_social_distance,13
559,Missouri,MO,Q3,inmate_screening,13
563,Missouri,MO,Q3,inmate_quarantine,13
567,Missouri,MO,Q3,inmate_visitation_suspended,13
571,Missouri,MO,Q3,staff_testing,13
574,Missouri,MO,Q3,staff_masking,7
578,Missouri,MO,Q3,staff_quarantine,13
582,Montana,MT,Q3,inmate_testing,13
586,Montana,MT,Q3,inmate_releases,13
590,Montana,MT,Q3,inmate_screening,13
594,Montana,MT,Q3,inmate_quarantine,13
598,Montana,MT,Q3,inmate_visitation_suspended,13
602,Montana,MT,Q3,staff_testing,13
606,Montana,MT,Q3,staff_masking,13
610,Nebraska,NE,Q3,inmate_testing,13
614,Nebraska,NE,Q3,inmate_masking,13
618,Nebraska,NE,Q3,inmate_social_distance,13
622,Nebraska,NE,Q3,inmate_screening,13
626,Nebraska,NE,Q3,inmate_quarantine,13
630,Nebraska,NE,Q3,inmate_visitation_suspended,10
634,Nebraska,NE,Q3,staff_masking,13
638,Nebraska,NE,Q3,staff_quarantine,13
643,Nevada,NV,Q3,inmate_testing,13
648,Nevada,NV,Q3,inmate_screening,13
652,Nevada,NV,Q3,inmate_quarantine,13
656,Nevada,NV,Q3,inmate_visitation_suspended,13
660,Nevada,NV,Q3,staff_testing,13
664,Nevada,NV,Q3,staff_masking,13
668,New Hampshire,NH,Q3,inmate_social_distance,13
672,New Hampshire,NH,Q3,inmate_screening,13
676,New Hampshire,NH,Q3,inmate_quarantine,13
680,New Hampshire,NH,Q3,inmate_visitation_suspended,10
682,New Hampshire,NH,Q3,staff_masking,13
686,New Jersey,NJ,Q3,inmate_testing,13
690,New Jersey,NJ,Q3,inmate_releases,13
694,New Jersey,NJ,Q3,inmate_social_distance,13
698,New Jersey,NJ,Q3,inmate_screening,13
702,New Jersey,NJ,Q3,inmate_quarantine,13
706,New Jersey,NJ,Q3,inmate_visitation_suspended,13
710,New Jersey,NJ,Q3,staff_testing,13
714,New Jersey,NJ,Q3,staff_masking,13
718,New Jersey,NJ,Q3,staff_quarantine,13
723,New Mexico,NM,Q3,inmate_masking,13
727,New Mexico,NM,Q3,inmate_releases,13
731,New Mexico,NM,Q3,inmate_screening,13
735,New Mexico,NM,Q3,inmate_quarantine,13
739,New Mexico,NM,Q3,inmate_visitation_suspended,13
743,New Mexico,NM,Q3,staff_testing,13
747,New Mexico,NM,Q3,staff_masking,13
751,New Mexico,NM,Q3,staff_quarantine,13
755,New York,NY,Q3,inmate_releases,13
758,New York,NY,Q3,inmate_visitation_suspended,8
760,New York,NY,Q3,staff_masking,13
763,North Carolina,NC,Q3,inmate_testing,13
766,North Carolina,NC,Q3,inmate_releases,13
769,North Carolina,NC,Q3,inmate_social_distance,13
772,North Carolina,NC,Q3,inmate_screening,13
775,North Carolina,NC,Q3,inmate_quarantine,13
779,North Dakota,ND,Q3,inmate_releases,13
782,North Dakota,ND,Q3,inmate_quarantine,13
785,North Dakota,ND,Q3,inmate_visitation_suspended,8
787,Ohio,OH,Q3,inmate_testing,13
789,Ohio,OH,Q3,inmate_masking,12
792,Ohio,OH,Q3,inmate_visitation_suspended,7
794,Ohio,OH,Q3,staff_testing,13
796,Ohio,OH,Q3,staff_masking,12
799,Oklahoma,OK,Q3,inmate_testing,1
803,Oklahoma,OK,Q3,inmate_screening,13
806,Oklahoma,OK,Q3,inmate_quarantine,10
812,Oklahoma,OK,Q3,staff_masking,3
816,Oregon,OR,Q3,inmate_masking,7
819,Oregon,OR,Q3,inmate_releases,13
823,Oregon,OR,Q3,inmate_visitation_suspended,13
827,Oregon,OR,Q3,staff_masking,6
829,Oregon,OR,Q3,staff_quarantine,6
832,Pennsylvania,PA,Q3,inmate_releases,13
836,Pennsylvania,PA,Q3,inmate_visitation_suspended,13
840,Rhode Island,RI,Q3,inmate_releases,6
842,Rhode Island,RI,Q3,inmate_visitation_suspended,6
845,South Carolina,SC,Q3,inmate_screening,13
848,South Carolina,SC,Q3,inmate_quarantine,13
851,South Carolina,SC,Q3,inmate_visitation_suspended,13
854,South Dakota,SD,Q3,inmate_social_distance,13
857,South Dakota,SD,Q3,inmate_screening,13
860,South Dakota,SD,Q3,inmate_quarantine,13
863,South Dakota,SD,Q3,inmate_visitation_suspended,13
866,South Dakota,SD,Q3,staff_masking,13
869,Tennessee,TN,Q3,inmate_testing,13
872,Tennessee,TN,Q3,inmate_social_distance,13
875,Tennessee,TN,Q3,inmate_screening,13
878,Tennessee,TN,Q3,inmate_quarantine,13
881,Tennessee,TN,Q3,inmate_visitation_suspended,13
884,Tennessee,TN,Q3,staff_testing,13
887,Tennessee,TN,Q3,staff_quarantine,13
890,Texas,TX,Q3,inmate_testing,13
893,Texas,TX,Q3,inmate_screening,13
896,Texas,TX,Q3,inmate_quarantine,13
899,Texas,TX,Q3,inmate_visitation_suspended,13
902,Texas,TX,Q3,staff_masking,13
905,Utah,UT,Q3,inmate_releases,13
908,Utah,UT,Q3,inmate_social_distance,13
911,Utah,UT,Q3,inmate_screening,13
914,Utah,UT,Q3,inmate_quarantine,13
917,Utah,UT,Q3,inmate_visitation_suspended,13
919,Utah,UT,Q3,staff_masking,13
924,Vermont,VT,Q3,inmate_masking,13
927,Vermont,VT,Q3,inmate_releases,13
930,Vermont,VT,Q3,inmate_social_distance,13
933,Vermont,VT,Q3,inmate_screening,13
936,Vermont,VT,Q3,inmate_quarantine,13
939,Vermont,VT,Q3,inmate_visitation_suspended,13
943,Vermont,VT,Q3,staff_masking,13
946,Vermont,VT,Q3,staff_quarantine,13
949,Virginia,VA,Q3,inmate_testing,13
952,Virginia,VA,Q3,inmate_masking,13
955,Virginia,VA,Q3,inmate_releases,13
958,Virginia,VA,Q3,inmate_social_distance,13
961,Virginia,VA,Q3,inmate_screening,13
963,Virginia,VA,Q3,inmate_quarantine,1
966,Virginia,VA,Q3,inmate_visitation_suspended,13
969,Virginia,VA,Q3,staff_testing,13
972,Virginia,VA,Q3,staff_masking,13
975,Washington,WA,Q3,inmate_testing,2
977,Washington,WA,Q3,inmate_masking,13
981,Washington,WA,Q3,inmate_social_distance,13
984,Washington,WA,Q3,inmate_screening,13
987,Washington,WA,Q3,inmate_quarantine,13
990,Washington,WA,Q3,inmate_visitation_suspended,13
993,Washington,WA,Q3,staff_testing,13
996,Washington,WA,Q3,staff_quarantine,13
999,West Virginia,WV,Q3,inmate_testing,13
1003,West Virginia,WV,Q3,inmate_masking,13
1007,West Virginia,WV,Q3,inmate_releases,13
1011,West Virginia,WV,Q3,inmate_screening,13
1015,West Virginia,WV,Q3,inmate_quarantine,13
1019,West Virginia,WV,Q3,inmate_visitation_suspended,13
1023,West Virginia,WV,Q3,staff_testing,13
1027,West Virginia,WV,Q3,staff_masking,13
1031,Wisconsin,WI,Q3,inmate_testing,1
1033,Wisconsin,WI,Q3,inmate_masking,13
1037,Wisconsin,WI,Q3,inmate_releases,13
1041,Wisconsin,WI,Q3,inmate_social_distance,13
1045,Wisconsin,WI,Q3,inmate_quarantine,13
1049,Wisconsin,WI,Q3,inmate_visitation_suspended,13
1054,Wisconsin,WI,Q3,staff_masking,13
1058,Wisconsin,WI,Q3,staff_quarantine,13
1061,Wyoming,WY,Q3,inmate_testing,7
1063,Wyoming,WY,Q3,inmate_social_distance,13
1067,Wyoming,WY,Q3,inmate_screening,13
1071,Wyoming,WY,Q3,inmate_visitation_suspended,13
1074,Wyoming,WY,Q3,staff_testing,9
1078,Wyoming,WY,Q3,staff_masking,13
