,states,state_code,quarter,policy,score
752,New Mexico,NM,Q4,staff_quarantine,13
756,New York,NY,Q4,inmate_releases,13
761,New York,NY,Q4,staff_masking,13
764,North Carolina,NC,Q4,inmate_testing,5
767,North Carolina,NC,Q4,inmate_releases,5
770,North Carolina,NC,Q4,inmate_social_distance,5
773,North Carolina,NC,Q4,inmate_screening,5
776,North Carolina,NC,Q4,inmate_quarantine,5
780,North Dakota,ND,Q4,inmate_releases,4
783,North Dakota,ND,Q4,inmate_quarantine,4
788,Ohio,OH,Q4,inmate_testing,4
790,Ohio,OH,Q4,inmate_masking,4
795,Ohio,OH,Q4,staff_testing,4
797,Ohio,OH,Q4,staff_masking,4
800,Oklahoma,OK,Q4,inmate_testing,13
804,Oklahoma,OK,Q4,inmate_screening,13
807,Oklahoma,OK,Q4,inmate_quarantine,13
810,Oklahoma,OK,Q4,inmate_visitation_suspended,13
813,Oklahoma,OK,Q4,staff_masking,13
817,Oregon,OR,Q4,inmate_masking,13
820,Oregon,OR,Q4,inmate_releases,13
824,Oregon,OR,Q4,inmate_visitation_suspended,13
833,Pennsylvania,PA,Q4,inmate_releases,13
837,Pennsylvania,PA,Q4,inmate_visitation_suspended,13
846,South Carolina,SC,Q4,inmate_screening,10
849,South Carolina,SC,Q4,inmate_quarantine,10
852,South Carolina,SC,Q4,inmate_visitation_suspended,10
855,South Dakota,SD,Q4,inmate_social_distance,10
858,South Dakota,SD,Q4,inmate_screening,10
861,South Dakota,SD,Q4,inmate_quarantine,10
864,South Dakota,SD,Q4,inmate_visitation_suspended,10
867,South Dakota,SD,Q4,staff_masking,10
870,Tennessee,TN,Q4,inmate_testing,10
873,Tennessee,TN,Q4,inmate_social_distance,10
876,Tennessee,TN,Q4,inmate_screening,10
879,Tennessee,TN,Q4,inmate_quarantine,10
882,Tennessee,TN,Q4,inmate_visitation_suspended,10
885,Tennessee,TN,Q4,staff_testing,10
888,Tennessee,TN,Q4,staff_quarantine,10
891,Texas,TX,Q4,inmate_testing,8
894,Texas,TX,Q4,inmate_screening,8
897,Texas,TX,Q4,inmate_quarantine,8
900,Texas,TX,Q4,inmate_visitation_suspended,8
903,Texas,TX,Q4,staff_masking,8
906,Utah,UT,Q4,inmate_releases,13
909,Utah,UT,Q4,inmate_social_distance,13
912,Utah,UT,Q4,inmate_screening,13
915,Utah,UT,Q4,inmate_quarantine,13
918,Utah,UT,Q4,inmate_visitation_suspended,13
920,Utah,UT,Q4,staff_masking,13
922,Vermont,VT,Q4,inmate_testing,9
925,Vermont,VT,Q4,inmate_masking,12
928,Vermont,VT,Q4,inmate_releases,12
931,Vermont,VT,Q4,inmate_social_distance,12
934,Vermont,VT,Q4,inmate_screening,12
937,Vermont,VT,Q4,inmate_quarantine,12
940,Vermont,VT,Q4,inmate_visitation_suspended,12
944,Vermont,VT,Q4,staff_masking,12
947,Vermont,VT,Q4,staff_quarantine,12
950,Virginia,VA,Q4,inmate_testing,12
953,Virginia,VA,Q4,inmate_masking,12
956,Virginia,VA,Q4,inmate_releases,12
959,Virginia,VA,Q4,inmate_social_distance,12
962,Virginia,VA,Q4,inmate_screening,12
964,Virginia,VA,Q4,inmate_quarantine,12
967,Virginia,VA,Q4,inmate_visitation_suspended,12
970,Virginia,VA,Q4,staff_testing,12
973,Virginia,VA,Q4,staff_masking,12
978,Washington,WA,Q4,inmate_masking,11
982,Washington,WA,Q4,inmate_social_distance,11
985,Washington,WA,Q4,inmate_screening,11
988,Washington,WA,Q4,inmate_quarantine,11
991,Washington,WA,Q4,inmate_visitation_suspended,11
994,Washington,WA,Q4,staff_testing,11
997,Washington,WA,Q4,staff_quarantine,11
1000,West Virginia,WV,Q4,inmate_testing,13
1004,West Virginia,WV,Q4,inmate_masking,13
1008,West Virginia,WV,Q4,inmate_releases,13
1012,West Virginia,WV,Q4,inmate_screening,13
1016,West Virginia,WV,Q4,inmate_quarantine,13
1020,West Virginia,WV,Q4,inmate_visitation_suspended,13
1024,West Virginia,WV,Q4,staff_testing,13
1028,West Virginia,WV,Q4,staff_masking,13
1034,Wisconsin,WI,Q4,inmate_masking,13
1038,Wisconsin,WI,Q4,inmate_releases,13
1042,Wisconsin,WI,Q4,inmate_social_distance,13
1046,Wisconsin,WI,Q4,inmate_quarantine,13
1050,Wisconsin,WI,Q4,inmate_visitation_suspended,13
1055,Wisconsin,WI,Q4,staff_masking,13
1059,Wisconsin,WI,Q4,staff_quarantine,13
1064,Wyoming,WY,Q4,inmate_social_distance,13
1068,Wyoming,WY,Q4,inmate_screening,13
1072,Wyoming,WY,Q4,inmate_visitation_suspended,13
1075,Wyoming,WY,Q4,staff_testing,13
1079,Wyoming,WY,Q4,staff_masking,13
